Product Id,Product Type,Product,Type,Market Size,Market,State,Budget Sales,Budget Profit,Cogs,Profit,Sales,Total Expenses,Date
1,Coffee,Amaretto,Regular,Major Market,Central,Colorado,220,100,89,94,219,36,01/01/10 0:00
2,Coffee,Columbian,Regular,Major Market,Central,Colorado,190,80,83,68,190,39,01/01/10 0:00
3,Coffee,Decaf Irish Cream,Decaf,Major Market,Central,Colorado,240,110,95,101,234,38,01/01/10 0:00
13,Tea,Green Tea,Regular,Major Market,Central,Colorado,80,30,44,30,100,26,01/01/10 0:00
5,Espresso,Caffe Mocha,Regular,Major Market,Central,Colorado,150,70,54,54,134,26,01/01/10 0:00
6,Espresso,Decaf Espresso,Decaf,Major Market,Central,Colorado,210,80,72,53,180,55,01/01/10 0:00
8,Herbal Tea,Chamomile,Decaf,Major Market,Central,Colorado,300,110,170,99,341,72,01/01/10 0:00
9,Herbal Tea,Lemon,Decaf,Major Market,Central,Colorado,130,20,63,0,150,87,01/01/10 0:00
10,Herbal Tea,Mint,Decaf,Major Market,Central,Colorado,120,40,60,33,140,47,01/01/10 0:00
11,Tea,Darjeeling,Regular,Major Market,Central,Colorado,110,20,58,17,130,55,01/01/10 0:00
12,Tea,Earl Grey,Regular,Major Market,Central,Colorado,120,40,64,36,140,40,01/01/10 0:00
2,Coffee,Columbian,Regular,Major Market,Central,Illinois,360,130,144,111,345,90,01/01/10 0:00
3,Coffee,Decaf Irish Cream,Decaf,Major Market,Central,Illinois,240,100,95,87,234,52,01/01/10 0:00
5,Espresso,Caffe Mocha,Regular,Major Market,Central,Illinois,640,260,234,203,546,109,01/01/10 0:00
6,Espresso,Decaf Espresso,Decaf,Major Market,Central,Illinois,530,180,228,140,456,88,01/01/10 0:00
8,Herbal Tea,Chamomile,Decaf,Major Market,Central,Illinois,190,100,89,95,219,35,01/01/10 0:00
9,Herbal Tea,Lemon,Decaf,Major Market,Central,Illinois,160,60,83,68,190,39,01/01/10 0:00
10,Herbal Tea,Mint,Decaf,Major Market,Central,Illinois,200,100,95,101,234,38,01/01/10 0:00
11,Tea,Darjeeling,Regular,Major Market,Central,Illinois,110,50,54,53,134,27,01/01/10 0:00
12,Tea,Earl Grey,Regular,Major Market,Central,Illinois,150,40,72,54,180,54,01/01/10 0:00
1,Coffee,Amaretto,Regular,Small Market,Central,Iowa,40,20,18,11,45,16,01/01/10 0:00
2,Coffee,Columbian,Regular,Small Market,Central,Iowa,60,20,28,5,62,29,01/01/10 0:00
3,Coffee,Decaf Irish Cream,Decaf,Small Market,Central,Iowa,50,20,23,12,54,19,01/01/10 0:00
5,Espresso,Caffe Mocha,Regular,Small Market,Central,Iowa,50,30,17,11,43,15,01/01/10 0:00
6,Espresso,Decaf Espresso,Decaf,Small Market,Central,Iowa,50,30,17,10,43,16,01/01/10 0:00
8,Herbal Tea,Chamomile,Decaf,Small Market,Central,Iowa,480,200,234,202,546,110,01/01/10 0:00
9,Herbal Tea,Lemon,Decaf,Small Market,Central,Iowa,200,90,95,86,234,53,01/01/10 0:00
11,Tea,Darjeeling,Regular,Small Market,Central,Iowa,400,140,228,141,456,87,01/01/10 0:00
12,Tea,Earl Grey,Regular,Small Market,Central,Iowa,480,160,245,175,546,126,01/01/10 0:00
2,Coffee,Columbian,Regular,Small Market,Central,Missouri,190,40,85,39,190,66,01/01/10 0:00
3,Coffee,Decaf Irish Cream,Decaf,Small Market,Central,Missouri,170,50,78,47,170,45,01/01/10 0:00
13,Tea,Green Tea,Regular,Small Market,Central,Missouri,60,0,34,-4,76,46,01/01/10 0:00
5,Espresso,Caffe Mocha,Regular,Small Market,Central,Missouri,140,70,50,48,123,25,01/01/10 0:00
6,Espresso,Decaf Espresso,Decaf,Small Market,Central,Missouri,130,60,46,45,114,23,01/01/10 0:00
8,Herbal Tea,Chamomile,Decaf,Small Market,Central,Missouri,70,0,37,-11,90,64,01/01/10 0:00
9,Herbal Tea,Lemon,Decaf,Small Market,Central,Missouri,80,-20,88,-39,99,50,01/01/10 0:00
11,Tea,Darjeeling,Regular,Small Market,Central,Missouri,70,10,35,9,82,38,01/01/10 0:00
12,Tea,Earl Grey,Regular,Small Market,Central,Missouri,50,-10,29,-9,65,45,01/01/10 0:00
1,Coffee,Amaretto,Regular,Major Market,Central,Ohio,140,50,60,34,140,46,01/01/10 0:00
2,Coffee,Columbian,Regular,Major Market,Central,Ohio,140,50,57,42,140,41,01/01/10 0:00
3,Coffee,Decaf Irish Cream,Decaf,Major Market,Central,Ohio,150,20,63,0,150,87,01/01/10 0:00
12,Tea,Earl Grey,Regular,Major Market,Central,Ohio,170,60,84,67,200,49,01/01/10 0:00
6,Espresso,Decaf Espresso,Decaf,Major Market,Central,Ohio,150,40,58,16,130,56,01/01/10 0:00
5,Espresso,Caffe Mocha,Regular,Major Market,Central,Ohio,400,140,170,99,341,72,01/01/10 0:00
8,Herbal Tea,Chamomile,Decaf,Major Market,Central,Ohio,70,50,32,29,80,19,01/01/10 0:00
9,Herbal Tea,Lemon,Decaf,Major Market,Central,Ohio,70,50,32,29,80,19,01/01/10 0:00
11,Tea,Darjeeling,Regular,Major Market,Central,Ohio,180,60,84,68,210,58,01/01/10 0:00
1,Coffee,Amaretto,Regular,Small Market,Central,Wisconsin,120,30,54,13,120,53,01/01/10 0:00
2,Coffee,Columbian,Regular,Small Market,Central,Wisconsin,190,20,79,9,190,102,01/01/10 0:00
3,Coffee,Decaf Irish Cream,Decaf,Small Market,Central,Wisconsin,180,60,77,51,180,52,01/01/10 0:00
12,Tea,Earl Grey,Regular,Small Market,Central,Wisconsin,150,10,75,7,180,98,01/01/10 0:00
6,Espresso,Decaf Espresso,Decaf,Small Market,Central,Wisconsin,120,50,48,34,110,28,01/01/10 0:00
5,Espresso,Caffe Mocha,Regular,Small Market,Central,Wisconsin,170,50,69,38,150,43,01/01/10 0:00
8,Herbal Tea,Chamomile,Decaf,Small Market,Central,Wisconsin,150,80,67,70,180,43,01/01/10 0:00
9,Herbal Tea,Lemon,Decaf,Small Market,Central,Wisconsin,70,50,33,28,81,20,01/01/10 0:00
11,Tea,Darjeeling,Regular,Small Market,Central,Wisconsin,130,50,61,47,150,42,01/01/10 0:00
11,Tea,Darjeeling,Regular,Small Market,East,Connecticut,130,60,50,47,123,26,01/01/10 0:00
13,Tea,Green Tea,Regular,Small Market,East,Connecticut,100,40,38,35,94,21,01/01/10 0:00
6,Espresso,Decaf Espresso,Decaf,Small Market,East,Connecticut,120,40,55,30,130,45,01/01/10 0:00
5,Espresso,Caffe Mocha,Regular,Small Market,East,Connecticut,170,20,75,7,180,98,01/01/10 0:00
